CC.TABLE_NAME||'|'||CC.COLUMN_NAME||'|'||RC.TABLE_NAME||'|'||RC.COLUMN_NAME||'|'||C.CONSTRAINT_NAME
BATCH5_JOB_EXECUTION|JOB_INSTANCE_ID|BATCH5_JOB_INSTANCE|JOB_INSTANCE_ID|BATCH5_JOB_INST_EXEC_FK
FVBDEFA|FVBDEFA_ACCT_CODE|FVBDEFH|FVBDEFH_ACCT_CODE|FK1_FVBDEFA_INV_FVBDEFH_KEY
FVBDEFA|FVBDEFA_COAS_CODE|FVBDEFH|FVBDEFH_COAS_CODE|FK1_FVBDEFA_INV_FVBDEFH_KEY
FVBDEFA|FVBDEFA_FSYR_CODE|FVBDEFH|FVBDEFH_FSYR_CODE|FK1_FVBDEFA_INV_FVBDEFH_KEY
FVBDEFA|FVBDEFA_FUND_CODE|FVBDEFH|FVBDEFH_FUND_CODE|FK1_FVBDEFA_INV_FVBDEFH_KEY
FVBDEFA|FVBDEFA_RULE_TYPE|FVBDEFH|FVBDEFH_RULE_TYPE|FK1_FVBDEFA_INV_FVBDEFH_KEY
FVBTXTR|FVBTXTR_REPT_CODE|FVVREPT|FVVREPT_CODE|FK1_FVBTXTR_INV_FVVREPT_CODE
FVRAAAT|FVRAAAT_CTYP_CODE|FVVCTYP|FVVCTYP_CODE|FK_FVRAAAT_INV_FVVCTYP_KEY
FVRACTC|FVRACTC_CTYP_CODE|FVVCTYP|FVVCTYP_CODE|FK_FVRACTC_INV_FVVCTYP_KEY
FVRACTR|FVRACTR_REPT_CODE|FVVREPT|FVVREPT_CODE|FK1_FVRACTR_INV_FVVREPT_CODE
FVRCFAC|FVRCFAC_COAS_CODE|FTVFSPD|FTVFSPD_COAS_CODE|FK_FVRCFAC_INV_FTVFSPD_KEY
FVRCFAC|FVRCFAC_CTYP_CODE|FVBCTYP|FVBCTYP_CTYP_CODE|FK_FVRCFAC_INV_FVBCTYP_KEY
FVRCFAC|FVRCFAC_CTYP_EFF_DATE|FVBCTYP|FVBCTYP_EFF_DATE|FK_FVRCFAC_INV_FVBCTYP_KEY
FVRCFAC|FVRCFAC_FSPD_CODE|FTVFSPD|FTVFSPD_FSPD_CODE|FK_FVRCFAC_INV_FTVFSPD_KEY
FVRCFAC|FVRCFAC_FSYR_CODE|FTVFSPD|FTVFSPD_FSYR_CODE|FK_FVRCFAC_INV_FTVFSPD_KEY
FVRDCIN|FVRDCIN_DOCT_CODE|FVVDOCT|FVVDOCT_CODE|FK1_FVRDCIN_INV_FVVDOCT_KEY
FVRDOCT|FVRDOCT_CLASS_CODE|FVRCLTD|FVRCLTD_CLASS_CODE|FK_FVRDOCT_INV_FVRCLTD_KEY
FVREXDS|FVREXDS_AGENCY_PIDM|FVVAGCY|FVVAGCY_AGCY_PIDM|FK1_FVREXDS_INV_FVVAGCY_CODE
FVRFFAC|FVRFFAC_CTYP_CODE|FVVCTYP|FVVCTYP_CODE|FK_FVRFFAC_INV_FVVCTYP_KEY
FVRFUNR|FVRFUNR_REPT_CODE|FVVREPT|FVVREPT_CODE|FK1_FVRFUNR_INV_FVVREPT_CODE
FVRTAXR|FVRTAXR_REPT_CODE|FVVREPT|FVVREPT_CODE|FK1_FVRTAXR_INV_FVVREPT_CODE
FVRTRID|FVRTRID_GRANTING_AGENCY|FVBTRIC|FVBTRIC_GRANTING_AGENCY|FK1_FVRTRID_INV_FVBTRIC_AGCY
FVRTRID|FVRTRID_GRANT_ID|FVBTRIC|FVBTRIC_GRANT_ID|FK1_FVRTRID_INV_FVBTRIC_AGCY
FVRTRID|FVRTRID_PINV_PIDM|FVBTRIC|FVBTRIC_PINV_PIDM|FK1_FVRTRID_INV_FVBTRIC_AGCY
FVRTRID|FVRTRID_STMT_TYPE|FVBTRIC|FVBTRIC_STMT_TYPE|FK1_FVRTRID_INV_FVBTRIC_AGCY
FVRTRID|FVRTRID_UNIVERSITY_ACCT|FVBTRIC|FVBTRIC_UNIVERSITY_ACCT|FK1_FVRTRID_INV_FVBTRIC_AGCY
FVRTRID|FVRTRID_YEAR_END|FVBTRIC|FVBTRIC_YEAR_END|FK1_FVRTRID_INV_FVBTRIC_AGCY
FVVDOCT|FVVDOCT_CLTD_CODE|FVVCLTD|FVVCLTD_CODE|FK_FVVDOCT_INV_FVVCLTD_KEY
GCBACTM|GCBACTM_GCRFLDR_ID|GCRFLDR|GCRFLDR_SURROGATE_ID|FK_GCBACTM_INV_GCRFLDR
GCBAGRP|GCBAGRP_GCRFLDR_ID|GCRFLDR|GCRFLDR_SURROGATE_ID|FK_GCBAGRP_INV_GCRFLDR
GCBAPST|GCBAPST_GCBAGRP_ID|GCBAGRP|GCBAGRP_SURROGATE_ID|FK_GCBAPST_INV_GCBAGRP_ID
GCBAPST|GCBAPST_GCBRAPT_ID|GCBRAPT|GCBRAPT_SURROGATE_ID|FK1_GCBAPST_INV_GCBRAPT_KEY
GCBBPRC|GCBBPRC_GTVSYSI_CODE|GTVSYSI|GTVSYSI_CODE|FK_GCBBPRC_INV_GTVSYSI
GCBCREC|GCBCREC_EVENT_ID|GCBEVMP|GCBEVMP_SURROGATE_ID|FK_GCBCREC_INV_GCBEVMP
